# id             redshift  distance   F275W_UVIS_CHIP2   F275W_UVIS_CHIP2_err   F336W_UVIS_CHIP2   F336W_UVIS_CHIP2_err   F438W_UVIS_CHIP2   F438W_UVIS_CHIP2_err   F555W_UVIS_CHIP2   F555W_UVIS_CHIP2_err   F814W_UVIS_CHIP2   F814W_UVIS_CHIP2_err   jwst.nircam.F200W   jwst.nircam.F200W_err   jwst.nircam.F300M   jwst.nircam.F300M_err   jwst.nircam.F335M   jwst.nircam.F335M_err   jwst.nircam.F360M   jwst.nircam.F360M_err   jwst.miri.F770W   jwst.miri.F770W_err   jwst.miri.F1000W   jwst.miri.F1000W_err   jwst.miri.F1130W   jwst.miri.F1130W_err   jwst.miri.F2100W   jwst.miri.F2100W_err    
 4   0.0   18.0  0.000105520312150   0.000016026845310   0.000168291029831   0.000019682161871   0.000212211683320   0.000019316522581   0.000418165118972   0.000015948702006   0.000836325645068   0.000026018724239   0.005305369541980   0.000015777450830   0.003861842569313   0.000028076785619   0.011622649001656   0.000042953546963   0.007945210452308   0.000037491741967   0.032012936538085   0.000107675914124   0.017368778313976   0.000087674338855   0.054887621738017   0.000128998449776   0.110906649753451   0.000180863243132    
 7   0.0   18.0  0.000322040360998   0.000018836248809   0.000389121067401   0.000023469248673   0.000355448777700   0.000024314135881   0.000324588146104   0.000019156945063   0.000261121643634   0.000028467423853   0.000939762166090   0.000012813127430   0.001184003839153   0.000021006898962   0.002106934790791   0.000022382591138   0.001737107390218   0.000024502498418   0.014047630578280   0.000085205734840   0.004030802960042   0.000069066741320   0.014180582640693   0.000094847234646   0.007021371433511   0.000149037823398    
 8   0.0   18.0  0.000461550236323   0.000020128944999   0.000505847256227   0.000024445352082   0.000502117518881   0.000025500696780   0.000454950399726   0.000019969274049   0.000400320927729   0.000029660961528   0.002265844260488   0.000014193962216   0.001200438941887   0.000020970104221   0.002035292248474   0.000022251477387   0.001494082370336   0.000023902428977   0.007157009132206   0.000074014626824   0.002472603749484   0.000066566012163   0.009031523591839   0.000089192757244   0.005054752696306   0.000147470404527    
 36   0.0   18.0  0.000591002874799   0.000022051049199   0.000692340381229   0.000025959915215   0.000575392608444   0.000028143720044   0.000720058531588   0.000021925378200   0.000577960591181   0.000031354016958   0.001574264041818   0.000012689964511   0.001269047399401   0.000022346970805   0.003957656770945   0.000028607340980   0.002592765609734   0.000028097556603   0.027171876598150   0.000035081011198   0.009487385684624   0.000025699051939   0.028011749126017   0.000032801100869   0.026649513579905   0.000067719070788    
 37   0.0   18.0  0.000017899117257   -0.000017899117257   0.000165235414097   0.000022451132957   0.000023844963605   -0.000023844963605   0.000173585857774   0.000018376467496   0.000455787078099   0.000030186208234   0.003972481267949   0.000015484586314   0.003090195578407   0.000029640183635   0.006742856423371   0.000035516767732   0.004609123651171   0.000034154232731   0.067763015925884   0.000122921770180   0.019631044697016   0.000057439370271   0.065503626167774   0.000096695738395   0.048288202136755   0.000103582480167    
 43   0.0   18.0  0.000022139912424   -0.000022139912424   0.000027540043958   -0.000027540043958   0.000028656029229   -0.000028656029229   0.000023454584577   -0.000023454584577   0.000278525350877   0.000039196688701   0.003077041840195   0.000014739131715   0.001899539617589   0.000025025591929   0.005103458441445   0.000032231874526   0.003462239560904   0.000030990883243   0.034063338264823   0.000088750362051   0.010123401521705   0.000048096353359   0.031908976882696   0.000072288299458   0.042076092362404   0.000101516127185    
 48   0.0   18.0  0.000015176075101   -0.000015176075101   0.000020754859100   -0.000020754859100   0.000022348600016   -0.000022348600016   0.000017584528462   -0.000017584528462   0.000027160598470   -0.000027160598470   0.002144140774195   0.000014431416655   0.001990579085541   0.000025563226475   0.006661599163199   0.000035837126214   0.004360166612314   0.000032901579946   0.048498429916799   0.000114864591555   0.013759661857039   0.000046227863221   0.040774895995855   0.000070487875309   0.045172107741237   0.000091914375806    
 50   0.0   18.0  0.000734360430179   0.000023364889092   0.000817009861930   0.000027843737009   0.000784363298953   0.000029367319209   0.000682843223840   0.000022800254512   0.000574642403008   0.000032553010183   0.002736713716731   0.000014716933607   0.002282034876698   0.000025988375560   0.007386485239258   0.000037332131260   0.004522062498145   0.000033223895954   0.067564520761371   0.000134650633617   0.018284903597087   0.000065172740336   0.062113639041781   0.000106174188986   0.036581228561699   0.000121930651800    
 53   0.0   18.0  0.000014221445089   -0.000014221445089   0.000018210863061   -0.000018210863061   0.000018240751055   -0.000018240751055   0.000013815467360   -0.000013815467360   0.000023811804470   -0.000023811804470   0.001523067388640   0.000013184311616   0.001163496373629   0.000020798634226   0.003910394592094   0.000027765687956   0.002563338670298   0.000027376103607   0.026084106303751   0.000039460548750   0.006850226121023   0.000032995933628   0.022886029593647   0.000041183984611   0.018083236180246   0.000100994082141    
 59   0.0   18.0  0.000138899295021   0.000016472288792   0.000145913238885   0.000021576766582   0.000117530525404   0.000020670296129   0.000204925292383   0.000016282063764   0.000506887167066   0.000026843946619   0.004729701620687   0.000015283344546   0.003672443744726   0.000027982195882   0.009909005837981   0.000040103095262   0.006576114376076   0.000035714261102   0.065790528431535   0.000128225179828   0.020668381061405   0.000025279642264   0.066744788996875   0.000033204373712   0.079034560844302   0.000072346277994    
